rank,prediction_score,pair_id,gene_concept_id,gene_curie,gene_label,disease_concept_id,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard
61,0.996373,82c67c71f88ab8d2de890a6f18b1d4de,54809,NCBIGene:65975,STK33,26889,MONDO:0957301,spermatogenic failure 84,8,0.31347127360037985,11,0.32197780257948305,1
62,0.996272,125d268d98c678acfe8db302cf38a747,55307,NCBIGene:122481,AK7,23453,MONDO:0032898,spermatogenic failure 43,6,0.21676823258108283,6,0.21676823258108283,0.75
63,0.996192,5e8f3f44d785084c07860dd1f379041b,50851,NCBIGene:843,CASP10,11158,MONDO:0011158,autoimmune lymphoproliferative syndrome type 1,7,5.333333333333333,81,10.931862495135789,0.627906976744186
64,0.996172,038c556e3a9566884d2ec44ea7b1cef2,55455,NCBIGene:154313,CFAP206,24768,MONDO:0054724,spermatogenic failure 20,5,0.08278941980830538,6,0.08302208616475025,0.6666666666666666
65,0.996172,106809fbf02c252550cfb4414ddba459,55742,NCBIGene:401024,FSIP2,24768,MONDO:0054724,spermatogenic failure 20,5,0.08278941980830538,6,0.08302208616475025,0.6666666666666666
66,0.996172,e61e5be518cf3f1f4c4b3299fd4db9fd,53102,NCBIGene:8632,DNAH17,24768,MONDO:0054724,spermatogenic failure 20,5,0.08278941980830538,6,0.08302208616475025,0.6666666666666666
67,0.996099,7af224b04b66630cf7473651a06485ec,54667,NCBIGene:57639,CCDC146,24768,MONDO:0054724,spermatogenic failure 20,4,0.0810945045540681,6,0.08302208616475025,0.6
68,0.996099,93ac195197601e190ab1e39f966b50ae,53473,NCBIGene:10233,LRRC23,24768,MONDO:0054724,spermatogenic failure 20,4,0.0810945045540681,6,0.08302208616475025,0.6
69,0.995942,d567dbe69cd897dbd628f05c989642bf,55668,NCBIGene:340990,OTOG,13984,MONDO:0013984,autosomal recessive nonsyndromic hearing loss 84B,4,0.14501232970303013,4,0.14501232970303013,0.8
70,0.995939,8978332a2b49635e722a843f6eb6bbd2,55398,NCBIGene:144406,CFAP251,24768,MONDO:0054724,spermatogenic failure 20,6,0.08302208616475025,6,0.08302208616475025,0.75
71,0.995939,9f488d8feb9d78d9496e19112888c582,55307,NCBIGene:122481,AK7,24768,MONDO:0054724,spermatogenic failure 20,6,0.08302208616475025,6,0.08302208616475025,0.75
72,0.995916,a067183f5236635d2bce6084d30d2c2d,54667,NCBIGene:57639,CCDC146,24767,MONDO:0054723,spermatogenic failure 19,5,0.09748794717701892,7,0.09941552878770106,0.7
73,0.995916,baf120833b486799c54028f5651e0856,53473,NCBIGene:10233,LRRC23,24767,MONDO:0054723,spermatogenic failure 19,5,0.09748794717701892,7,0.09941552878770106,0.7
74,0.995907,88244219254c332d9f4ef5a1404479d4,50964,NCBIGene:1203,CLN5,11144,MONDO:0011144,"ceroid lipofuscinosis, neuronal, 6A",5,0.6970760233918128,9,0.7206413854960695,0.36
75,0.995760,bfb352aa7667cd81b91dcafa9d6557f5,55530,NCBIGene:201625,DNAH12,27244,MONDO:0971000,spermatogenic failure 93,7,0.297077830977429,11,0.32197780257948305,0.9166666666666666
76,0.995760,c1899ca41b55c7075d2de7c40b6ca334,55530,NCBIGene:201625,DNAH12,26889,MONDO:0957301,spermatogenic failure 84,7,0.297077830977429,11,0.32197780257948305,0.9166666666666666
77,0.995484,e7efd2e79c9d17e3be81c4587aff39dd,54955,NCBIGene:80336,PABPC1L,26695,MONDO:0859330,oocyte maturation defect 13,4,0.16401549369859422,4,0.16401549369859422,0.5714285714285714
78,0.995418,397b04a57bd665f0a94b46ae3808918e,55742,NCBIGene:401024,FSIP2,24767,MONDO:0054723,spermatogenic failure 19,6,0.09918286243125621,7,0.09941552878770106,0.7777777777777778
79,0.995418,f83468ba81f7ba59578cac42d544656a,53102,NCBIGene:8632,DNAH17,24767,MONDO:0054723,spermatogenic failure 19,6,0.09918286243125621,7,0.09941552878770106,0.7777777777777778
80,0.995397,c723f0101ec86a7827207f3c6ea6bee6,53968,NCBIGene:26074,CFAP61,24767,MONDO:0054723,spermatogenic failure 19,4,0.09090899980859786,7,0.09941552878770106,0.6363636363636364
81,0.995397,e2eaf807c2f495dd4e5f5f99ec3207d2,54809,NCBIGene:65975,STK33,24767,MONDO:0054723,spermatogenic failure 19,4,0.09090899980859786,7,0.09941552878770106,0.6363636363636364
82,0.995035,4f38c5c179265e0e6fe3e48924fedf1f,54955,NCBIGene:80336,PABPC1L,21338,MONDO:0021575,oocyte maturation defect 4,4,0.22115835084145138,4,0.22115835084145138,0.5714285714285714
83,0.995009,cd3488d974bbe595a56be1ccaf91abde,52377,NCBIGene:5741,PTH,20798,MONDO:0020798,"hypoparathyroidism, familial isolated, 2",4,0.16970974113831255,5,0.16994240749475742,0.3333333333333333
84,0.994995,7a01962fe5533132e5b8a3328c6141d5,55320,NCBIGene:124404,SEPTIN12,23300,MONDO:0032739,spermatogenic failure 36,4,0.11965947277302282,4,0.11965947277302282,0.6666666666666666
85,0.994987,1cc8d03aa863ff8c7b8b3b39f1fb67c3,50866,NCBIGene:881,CCIN,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,0.5
86,0.994987,27e48adbba5a84812eddf1504501feec,50866,NCBIGene:881,CCIN,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,0.5
87,0.994987,28c3e6725e8dcc77efd1601cb349132a,50866,NCBIGene:881,CCIN,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,0.5
88,0.994987,4666063c2f458dbb5c8611d17a7aee6b,50866,NCBIGene:881,CCIN,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,0.5
89,0.994826,53932ce7c603194cecbb61b56b583320,54991,NCBIGene:81833,SPACA1,24774,MONDO:0054730,spermatogenic failure 26,4,0.1335065289791032,4,0.1335065289791032,0.5714285714285714
90,0.994826,d1771ab409b33cd6715ed316658a406c,53622,NCBIGene:10881,ACTL7A,24774,MONDO:0054730,spermatogenic failure 26,4,0.1335065289791032,4,0.1335065289791032,0.5714285714285714
91,0.994592,10385e4ca35e5fcb64b7a758498397dc,54991,NCBIGene:81833,SPACA1,22907,MONDO:0030721,spermatogenic failure 68,4,0.10850652897910319,4,0.10850652897910319,0.5714285714285714
92,0.994592,9f06fb618fbd04e5033b215d14a7cec2,54991,NCBIGene:81833,SPACA1,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,0.5714285714285714
93,0.994592,a0183789e4f33657422e70adf7116677,54991,NCBIGene:81833,SPACA1,22902,MONDO:0030716,spermatogenic failure 66,4,0.10850652897910319,4,0.10850652897910319,0.5714285714285714
94,0.994592,b6670427fcc474a784ea78d3e1a38539,54991,NCBIGene:81833,SPACA1,22904,MONDO:0030718,spermatogenic failure 67,4,0.10850652897910319,4,0.10850652897910319,0.5714285714285714
95,0.994333,6b146967653b6e51d2cfbdc53530e48d,54941,NCBIGene:80217,CFAP43,23650,MONDO:0033671,spermatogenic failure 45,5,0.09748794717701892,6,0.09772061353346377,0.42857142857142855
96,0.994203,81c6bd147a0898bc043ecf4ad6b25738,55027,NCBIGene:83894,TTC29,24772,MONDO:0054728,spermatogenic failure 24,6,0.37593698780246965,6,0.37593698780246965,0.75
97,0.994033,4edd0eac8b6cd2c76419d0b952ab8716,53102,NCBIGene:8632,DNAH17,23650,MONDO:0033671,spermatogenic failure 45,5,0.09748794717701892,6,0.09772061353346377,0.6666666666666666
98,0.994033,52b3e493c0a79dc4cc9969d090d9e162,55742,NCBIGene:401024,FSIP2,23650,MONDO:0033671,spermatogenic failure 45,5,0.09748794717701892,6,0.09772061353346377,0.6666666666666666
99,0.994022,5b000774f80e901fb8dcdeb51eae478e,53473,NCBIGene:10233,LRRC23,23650,MONDO:0033671,spermatogenic failure 45,5,0.09748794717701892,6,0.09772061353346377,0.6
100,0.994022,ef63dc2ff9e1703019a05920326c2e58,54667,NCBIGene:57639,CCDC146,23650,MONDO:0033671,spermatogenic failure 45,5,0.09748794717701892,6,0.09772061353346377,0.6
101,0.993997,442bef3197a1e8ad56cdebdcc27be0f9,53102,NCBIGene:8632,DNAH17,26713,MONDO:0859352,spermatogenic failure 79,5,0.065450991770999,6,0.06568365812744387,0.6666666666666666
102,0.993676,d1b18f7e18bfb19f4bb78e437bccdfb3,54809,NCBIGene:65975,STK33,23650,MONDO:0033671,spermatogenic failure 45,4,0.09090899980859786,6,0.09772061353346377,0.5454545454545454
103,0.993676,f953244e1d6c558b6a3cc0818ae41de8,53968,NCBIGene:26074,CFAP61,23650,MONDO:0033671,spermatogenic failure 45,4,0.09090899980859786,6,0.09772061353346377,0.5454545454545454
104,0.993112,577bff5756306ad8b3705f87875d9ce1,53473,NCBIGene:10233,LRRC23,26864,MONDO:0957249,spermatogenic failure 82,5,0.11680879026835381,7,0.11873637187903596,0.7
105,0.993112,cd96a5e074ec24dfcfb82380d6e1e6a3,54667,NCBIGene:57639,CCDC146,26864,MONDO:0957249,spermatogenic failure 82,5,0.11680879026835381,7,0.11873637187903596,0.7
106,0.993034,315eb1e086d391bf03ae34be2a0ffb18,54809,NCBIGene:65975,STK33,26864,MONDO:0957249,spermatogenic failure 82,4,0.11022984289993276,7,0.11873637187903596,0.6363636363636364
107,0.993034,be38ccc8ec3922fb1031d1185ccfaa20,53968,NCBIGene:26074,CFAP61,26864,MONDO:0957249,spermatogenic failure 82,4,0.11022984289993276,7,0.11873637187903596,0.6363636363636364
108,0.992883,0a28c8abfe3766dc881f5bd2507d9404,51156,NCBIGene:1769,DNAH8,23650,MONDO:0033671,spermatogenic failure 45,6,0.09772061353346377,6,0.09772061353346377,0.75
109,0.992883,436489671656ca9c89acd903dd490f46,55398,NCBIGene:144406,CFAP251,23650,MONDO:0033671,spermatogenic failure 45,6,0.09772061353346377,6,0.09772061353346377,0.75
110,0.992883,66a293b5aec6a6a5085db784fea251ac,55307,NCBIGene:122481,AK7,23650,MONDO:0033671,spermatogenic failure 45,6,0.09772061353346377,6,0.09772061353346377,0.75
111,0.992883,e35d16c6116e5eeac5635d0a237a721a,55027,NCBIGene:83894,TTC29,23650,MONDO:0033671,spermatogenic failure 45,6,0.09772061353346377,6,0.09772061353346377,0.75
112,0.992756,1212114b607a008d529272e2a280d03b,55742,NCBIGene:401024,FSIP2,23262,MONDO:0032686,spermatogenic failure 35,6,0.22564656266544825,7,0.2258792290218931,0.7777777777777778
113,0.992713,f6816241c9ed43bd0ded0bf9f4bcb6ad,55530,NCBIGene:201625,DNAH12,26864,MONDO:0957249,spermatogenic failure 82,4,0.11022984289993276,7,0.11873637187903596,0.5833333333333334
114,0.991465,765bfb83e3b5eaa561762e175cbb5592,55113,NCBIGene:84790,TUBA1C,26695,MONDO:0859330,oocyte maturation defect 13,4,0.16401549369859422,4,0.16401549369859422,0.8
115,0.990876,ad3447ec38155d5d0691affdb9cbc135,50951,NCBIGene:1175,AP2S1,7792,MONDO:0007792,familial hypocalciuric hypercalcemia 2,7,0.7191567490480534,11,0.753080327789018,0.55
116,0.990228,1a36736cace02ae5fd129854393566c1,50791,NCBIGene:676,BRDT,24774,MONDO:0054730,spermatogenic failure 26,4,0.1335065289791032,4,0.1335065289791032,0.8
117,0.988884,274d8838553a13e12796f80f677792f8,55397,NCBIGene:144245,ALG10B,13370,MONDO:0013370,long QT syndrome 6,6,0.1637279118835695,9,0.17600289456951895,0.75
118,0.986327,3f47f66725b55dbf240e76a2d56b6107,50805,NCBIGene:718,C3,13040,MONDO:0013040,atypical hemolytic-uremic syndrome with MCP/CD46 anomaly,5,0.3066867772750126,16,0.35459509005379275,0.5333333333333333
119,0.979954,0175c319b811e14c029f9cb4c289809b,53968,NCBIGene:26074,CFAP61,24747,MONDO:0054615,spermatogenic failure 18,5,0.13636354526314332,8,0.14487007424224652,0.7272727272727273
120,0.979954,518a8d4a11e5ac8a044e3a120faa9f07,54809,NCBIGene:65975,STK33,24747,MONDO:0054615,spermatogenic failure 18,5,0.13636354526314332,8,0.14487007424224652,0.7272727272727273
121,0.979954,a70d07c13f346f6f234e3a5bd812904f,54809,NCBIGene:65975,STK33,22665,MONDO:0029147,spermatogenic failure 33,5,0.13636354526314332,8,0.14487007424224652,0.7272727272727273
122,0.979954,d5efc113c4b6b678c9788e528e04972a,53968,NCBIGene:26074,CFAP61,22665,MONDO:0029147,spermatogenic failure 33,5,0.13636354526314332,8,0.14487007424224652,0.7272727272727273
123,0.977810,201247def2c781a1c9fd04cba8a06dc9,55530,NCBIGene:201625,DNAH12,27243,MONDO:0970999,spermatogenic failure 92,6,0.2516232855228836,10,0.2765232571249376,0.8333333333333334
124,0.977409,81288f80a84a89751ac19c091392e83b,55530,NCBIGene:201625,DNAH12,22665,MONDO:0029147,spermatogenic failure 33,4,0.1199701026401925,8,0.14487007424224652,0.6666666666666666
125,0.977409,d9b9fd14a5a2ea1c700532419967b7a9,55530,NCBIGene:201625,DNAH12,24747,MONDO:0054615,spermatogenic failure 18,4,0.1199701026401925,8,0.14487007424224652,0.6666666666666666
126,0.975639,90200b69822f5eff4f2bb2bb51c8d401,52790,NCBIGene:7056,THBD,13042,MONDO:0013042,atypical hemolytic-uremic syndrome with B factor anomaly,4,0.22976370035193563,12,0.2747567256340983,0.6666666666666666
127,0.974854,5f98af97008b91ce6a15668d6ec6f4de,51640,NCBIGene:3458,IFNG,8612,MONDO:0008612,tuberous sclerosis 1,4,1.5833333333333333,36,5.985371291937158,0.26277372262773724
128,0.974308,95deace3d457557c77d72e649025cf85,55773,NCBIGene:653361,NCF1,9308,MONDO:0009308,"granulomatous disease, chronic, autosomal recessive, cytochrome b-negative",4,0.9,25,2.18616594804168,0.10683760683760683
129,0.972116,6906ef05de7eec4716f3831f8201f393,53968,NCBIGene:26074,CFAP61,23107,MONDO:0031077,spermatogenic failure 76,5,0.1283667439836551,8,0.1368732729627583,0.7272727272727273
130,0.972116,83b3d9a3d411766d4bcb785b784d0ef6,54809,NCBIGene:65975,STK33,23107,MONDO:0031077,spermatogenic failure 76,5,0.1283667439836551,8,0.1368732729627583,0.7272727272727273
131,0.972050,45ab14c363f72881de33f03a206e115a,50805,NCBIGene:718,C3,13042,MONDO:0013042,atypical hemolytic-uremic syndrome with B factor anomaly,4,0.22976370035193563,12,0.27448222659484495,0.4
132,0.971950,4eedbc6a5ae79325e6fb25d638afd482,54809,NCBIGene:65975,STK33,26724,MONDO:0859364,spermatogenic failure 80,5,0.12662328552288357,8,0.13512981450198677,0.7272727272727273
133,0.971950,d3a68691ea159769bd7937f94da1a2cd,53968,NCBIGene:26074,CFAP61,26724,MONDO:0859364,spermatogenic failure 80,5,0.12662328552288357,8,0.13512981450198677,0.7272727272727273
134,0.970613,f8b3211e907f85d5cbb5bfda64f08442,52846,NCBIGene:7248,TSC1,13199,MONDO:0013199,tuberous sclerosis 2,4,1.8333333333333333,37,6.4088929516936615,0.23870967741935484
135,0.970376,38e9b406c41c358a8597a98d40e012c7,50805,NCBIGene:718,C3,13044,MONDO:0013044,atypical hemolytic-uremic syndrome with thrombomodulin anomaly,5,0.3066867772750126,13,0.3514053035179219,0.43333333333333335
