symbol	hgncId	ncbiGeneId	ensemblGeneId
ADGRF4	HGNC:19011	221393	ENSG00000153294
ADGRF5	HGNC:19030	221395	ENSG00000069122
ADGRG3	HGNC:13728	222487	ENSG00000182885
ADGRG4	HGNC:18992	139378	ENSG00000156920
ADGRG5	HGNC:19010	221188	ENSG00000159618
ADGRG7	HGNC:19241	84873	ENSG00000144820
ADGRL2	HGNC:18582	23266	ENSG00000117114
ADGRL3	HGNC:20974	23284	ENSG00000150471
ADGRL4	HGNC:20822	64123	ENSG00000162618
ADH1A	HGNC:249	124	ENSG00000187758
ADH4	HGNC:252	127	ENSG00000198099
ADH6	HGNC:255	130	ENSG00000172955
ADH7	HGNC:256	131	ENSG00000196344
ADHFE1	HGNC:16354	137872	ENSG00000147576
ADI1	HGNC:30576	55256	ENSG00000182551
ADIG	HGNC:28606	149685	ENSG00000182035
ADIPOR1	HGNC:24040	51094	ENSG00000159346
ADIPOR2	HGNC:24041	79602	ENSG00000006831
ADIRF	HGNC:24043	10974	ENSG00000148671
ADISSP	HGNC:15873	54976	ENSG00000101220
ADM	HGNC:259	133	ENSG00000148926
ADM2	HGNC:28898	79924	ENSG00000128165
ADM5	HGNC:27293	199800	ENSG00000224420
ADNP2	HGNC:23803	22850	ENSG00000101544
ADO	HGNC:23506	84890	ENSG00000181915
ADORA1	HGNC:262	134	ENSG00000163485
ADORA2B	HGNC:264	136	ENSG00000170425
ADORA3	HGNC:268	140	ENSG00000282608
ADPGK	HGNC:25250	83440	ENSG00000159322
ADPRH	HGNC:269	141	ENSG00000144843
ADPRHL1	HGNC:21303	113622	ENSG00000153531
ADPRM	HGNC:30925	56985	ENSG00000170222
ADRA1A	HGNC:277	148	ENSG00000120907
ADRA1B	HGNC:278	147	ENSG00000170214
ADRA1D	HGNC:280	146	ENSG00000171873
ADRA2C	HGNC:283	152	ENSG00000184160
ADRB2	HGNC:286	154	ENSG00000169252
ADRM1	HGNC:15759	11047	ENSG00000130706
ADSS2	HGNC:292	159	ENSG00000035687
