pair_id,gene_concept_id,gene_curie,gene_label,disease_concept_id,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,shared_ratio_to_gene,shared_ratio_to_disease,gene_alias_count,gene_member_count,gene_xref_count,gene_phenotype_count,gene_out_degree,disease_alias_count,disease_member_count,disease_xref_count,disease_phenotype_count,disease_lacks_phenotype_count,disease_in_degree,disease_out_degree,disease_trial_count
c0deb16c8a2d5f42993c115c94a36915,51233,NCBIGene:2034,EPAS1,59289,ORPHA:29072,Hereditary pheochromocytoma-paraganglioma,4,0.7333333333333333,36,2.490582694046161,0.72,0.8,0.8780487804878049,1,2,0,45,51,1,1,0,41,0,15,41,0
36c0c50c3963bb649a9641223d529c19,51917,NCBIGene:4282,MIF,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,36,2.4170558170629293,0.4,0.631578947368421,0.5217391304347826,1,2,0,57,61,7,1,19,69,0,109,71,102
2cafa6f593758c79800d983be7145b67,54990,NCBIGene:81794,ADAMTS10,12013,MONDO:0012013,"Weill-Marchesani syndrome 2, dominant",4,0.7222222222222222,36,1.2434265437402319,0.48,0.631578947368421,0.6666666666666666,1,2,0,57,62,11,1,6,54,0,2,55,0
26e629c201d5dfc4fdfb631b9f89af45,52689,NCBIGene:6777,STAT5B,12883,MONDO:0012883,acute promyelocytic leukemia,4,0.3253968253968254,36,0.853283743671596,0.6,0.631578947368421,0.9230769230769231,1,2,0,57,63,28,1,16,39,0,3,40,0
45f244cfbed0633dec380ca328f528d1,54791,NCBIGene:64859,NABP1,12883,MONDO:0012883,acute promyelocytic leukemia,5,0.39206349206349206,36,0.853283743671596,0.9230769230769231,1,0.9230769230769231,1,2,0,36,37,28,1,16,39,0,3,40,0
5919943d74c8752eedb428c1babe1582,54979,NCBIGene:81608,FIP1L1,12883,MONDO:0012883,acute promyelocytic leukemia,5,0.39206349206349206,36,0.853283743671596,0.9230769230769231,1,0.9230769230769231,1,2,0,36,39,28,1,16,39,0,3,40,0
9ddef4dbacdc0b468af90cce14812283,52124,NCBIGene:4926,NUMA1,12883,MONDO:0012883,acute promyelocytic leukemia,5,0.39206349206349206,36,0.853283743671596,0.9230769230769231,1,0.9230769230769231,1,2,0,36,37,28,1,16,39,0,3,40,0
b184a202d697d0f4ca82cfd4d5aeb843,52278,NCBIGene:5371,PML,12883,MONDO:0012883,acute promyelocytic leukemia,5,0.39206349206349206,36,0.853283743671596,0.9230769230769231,1,0.9230769230769231,1,2,0,36,37,28,1,16,39,0,3,40,0
f86a8976db9fd93103bc037045537200,52954,NCBIGene:7704,ZBTB16,12883,MONDO:0012883,acute promyelocytic leukemia,5,0.39206349206349206,36,0.853283743671596,0.9230769230769231,1,0.9230769230769231,1,2,0,36,38,28,1,16,39,0,3,40,0
fdc4910109babb6c08486db556665dc2,51899,NCBIGene:4193,MDM2,18875,MONDO:0018875,Li-Fraumeni syndrome,5,2.4761904761904763,35,4.479755503671833,0.5645161290322581,0.7142857142857143,0.7291666666666666,1,2,0,49,56,18,1,15,48,0,8,51,4
