rank,prediction_score,novelty_adjusted_score,novelty_bucket,strict_novelty_pass,pair_id,geneConceptId,gene_curie,gene_label,diseaseConceptId,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,exact_match_count,equivalent_match_count,ancestor_match_count,descendant_match_count,shared_family_match_count,existing_match_examples,shared_family_examples
206,0.318719,0.318719,novel_candidate,true,1d820ae8f9318bb3fab5e2be0b271669,53426,NCBIGene:10049,DNAJB6,11362,MONDO:0011362,"myopathy, myofibrillar, 9, with early respiratory failure",4,0.19310462536268988,9,0.23918422325147534,0.19148936170212766,0,0,0,0,0,,
207,0.318497,0.318497,novel_candidate,true,3e25453c19f4007cde5b8b2e6a1418ed,51939,NCBIGene:4351,MPI,59329,ORPHA:79320,ALG6-CDG,4,0.4880952380952381,12,0.6650267756934424,0.16666666666666666,0,0,0,0,0,,
208,0.316102,0.316102,novel_candidate,true,6cb868fbf932cbf067539d63709ee26a,55719,NCBIGene:388531,RGS9BP,27100,MONDO:0958180,prolonged electroretinal response suppression 1,5,0.8439568804670624,6,0.8441895468235073,0.6666666666666666,0,0,0,0,0,,
213,0.307278,0.307278,novel_candidate,true,e6c818528fae2dec513dcbb391cca5fd,52704,NCBIGene:6821,SUOX,9643,MONDO:0009643,sulfite oxidase deficiency due to molybdenum cofactor deficiency type A,4,0.9704081632653061,7,0.9736281216379041,0.0945945945945946,0,0,0,0,0,,
214,0.307268,0.307268,novel_candidate,true,4ed10edf4809ce4bdd4e620afbe93eac,52048,NCBIGene:4704,NDUFA9,23600,MONDO:0033560,"mitochondrial complex 1 deficiency, nuclear type 35",4,0.09028335564480143,5,0.09051602200124628,0.15151515151515152,0,0,0,0,0,,
216,0.302978,0.302978,novel_candidate,true,13f057dbb661c52c762641f8e7b64257,55283,NCBIGene:116442,RAB39B,58740,ORPHA:411602,Hereditary late-onset Parkinson disease,4,0.1385387488328665,10,0.18523275713238319,0.15151515151515152,0,0,0,0,0,,
217,0.300445,0.300445,novel_candidate,true,6a923cff4601a13d7dcd6f017d8649cc,52965,NCBIGene:7818,DAP3,14321,MONDO:0014321,premature ovarian failure 8,5,0.09490705128205128,6,0.09513971763849614,0.2608695652173913,0,0,0,0,0,,
218,0.297024,0.297024,novel_candidate,true,98a8446b515f24f2fc2b980f12ae138d,54161,NCBIGene:51067,YARS2,9783,MONDO:0009783,"progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 1",4,0.09214539948478949,10,0.11363163364368352,0.1,0,0,0,0,0,,
219,0.296056,0.296056,novel_candidate,true,f18eb34bc5025fea72d92ee55f25f7d6,51503,NCBIGene:2911,GRM1,11694,MONDO:0011694,spinocerebellar ataxia type 15/16,4,0.27616550116550115,15,0.37087863795780995,0.16853932584269662,0,0,0,0,0,,
221,0.294244,0.294244,novel_candidate,true,edb4356ea63f4052a90d098f4e608af0,54089,NCBIGene:29128,UHRF1,56590,ORPHA:33355,Reticular dysgenesis,4,0.13902819059468677,6,0.14375971256758804,0.16216216216216217,0,0,0,0,0,,
222,0.293668,0.293668,novel_candidate,true,bf6563f23087bd535d6b7f466dd41994,54542,NCBIGene:55958,KLHL9,57383,ORPHA:488650,"Distal myopathy, Tateyama type",4,0.17851307189542484,5,0.18706008044243339,0.17857142857142858,0,0,0,0,0,,
