rank,prediction_score,pair_id,gene_concept_id,gene_curie,gene_label,disease_concept_id,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard
41,0.452696,a7b4264d0b0041b0232c5704cda148ef,54195,NCBIGene:51185,CRBN,10235,MONDO:0010235,X-linked intellectual disability-psychosis-macroorchidism syndrome,6,0.012159105682918735,7,0.012561358297560731,0.1076923076923077
42,0.452696,2496fef1ccc052b952d3b9c1b6ffe216,54398,NCBIGene:55074,OXR1,10235,MONDO:0010235,X-linked intellectual disability-psychosis-macroorchidism syndrome,5,0.00980817722617067,7,0.010625367600148764,0.10606060606060606
43,0.452696,354d9ba755fe6099b1972552d6dc5711,51061,NCBIGene:1491,CTH,10184,MONDO:0010184,methylmalonic aciduria and homocystinuria type cblC,4,0.9195457292506044,6,0.9201933333663853,0.08695652173913043
44,0.452696,cfc586672cb7613fba86e6447d2cb8eb,54209,NCBIGene:51293,CD320,10184,MONDO:0010184,methylmalonic aciduria and homocystinuria type cblC,6,0.1398194203483363,6,0.1398194203483363,0.08955223880597014
45,0.452696,3bd8a412ef858bfdb273ab0bab43978e,55087,NCBIGene:84529,CDIN1,10524,MONDO:0010524,X-linked sideroblastic anemia with ataxia,4,0.13651918257181414,6,0.1391612477138793,0.09090909090909091
46,0.452696,39c6fdf9e12936a5b7b7424e703a9a71,53066,NCBIGene:8482,SEMA7A,9216,MONDO:0009216,glycogen storage disease due to GLUT2 deficiency,6,0.08861223585791538,6,0.08861223585791538,0.08571428571428572
47,0.452696,45afb5ee60cf0df891cc323e4d94b25b,55750,NCBIGene:406960,MIR184,8289,MONDO:0008289,brain small vessel disease 1 with or without ocular anomalies,5,0.0484480616269304,6,0.04872256066618376,0.1111111111111111
48,0.452696,c4f9f98193ac5cb8f3ce2f334d35497a,53259,NCBIGene:9354,UBE4A,10283,MONDO:0010283,syndromic X-linked intellectual disability Lubs type,5,0.019310702793711262,6,0.019871870021545158,0.05825242718446602
49,0.452696,811db189f174069fa1175f3b90ace4a6,51384,NCBIGene:2560,GABRB1,8758,MONDO:0008758,mitochondrial DNA depletion syndrome 4a,5,0.01000854620553751,6,0.010410798820179507,0.10909090909090909
50,0.452696,f56a69bedf7e3388d61f4f0cee9b481b,50732,NCBIGene:518,ATP5MC3,10100,MONDO:0010100,Tay-Sachs disease,5,0.04909709450999821,5,0.04909709450999821,0.056818181818181816
51,0.452696,b19af3c1b798527e39ce6eed28d87819,54933,NCBIGene:80201,HKDC1,10184,MONDO:0010184,methylmalonic aciduria and homocystinuria type cblC,5,0.015249575620095924,5,0.015249575620095924,0.07352941176470588
52,0.452696,8f64b2d20641758e478ac09abb005230,51034,NCBIGene:1412,CRYBA2,8289,MONDO:0008289,brain small vessel disease 1 with or without ocular anomalies,5,0.014614661875620119,5,0.014614661875620119,0.09433962264150944
