rank,prediction_score,novelty_adjusted_score,novelty_bucket,strict_novelty_pass,pair_id,geneConceptId,gene_curie,gene_label,diseaseConceptId,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,exact_match_count,equivalent_match_count,ancestor_match_count,descendant_match_count,shared_family_match_count,existing_match_examples,shared_family_examples
48,0.99674,0.249185,same_family_shared_ancestor,false,3b16332bc4ba287ea8cf7e1ae58307d7,53324,NCBIGene:9622,KLK4,14971,MONDO:0014971,"amelogenesis imperfecta, hypomaturation type, IIa6",4,0.17108755672353035,4,0.17108755672353035,0.5714285714285714,0,0,0,0,2,,amelogenesis imperfecta type 2A1 via amelogenesis imperfecta type 2
49,0.996675,0.249169,same_family_shared_ancestor,false,57de5d4557253f8910ca21155218ecd5,55530,NCBIGene:201625,DNAH12,27125,MONDO:0958206,spermatogenic failure 89,8,0.4637444976440957,12,0.48864446924614974,1,0,0,0,0,2,,spermatogenic failure 100 via spermatogenic failure
50,0.996638,0.24916,same_family_shared_ancestor,false,dd672b5d8a33a748bfb2d6a0eddd99f6,53968,NCBIGene:26074,CFAP61,27243,MONDO:0970999,spermatogenic failure 92,7,0.2680167281458344,10,0.2765232571249376,0.9090909090909091,0,0,0,0,2,,spermatogenic failure 84 via spermatogenic failure
51,0.996638,0.24916,same_family_shared_ancestor,false,eeb9448abf97b106587c7fafa4ce64bb,54809,NCBIGene:65975,STK33,27243,MONDO:0970999,spermatogenic failure 92,7,0.2680167281458344,10,0.2765232571249376,0.9090909090909091,0,0,0,0,2,,spermatogenic failure 93 via spermatogenic failure
53,0.996581,0.249145,same_family_shared_ancestor,false,9fa6b1cb644fc974dc095a7880ecb9b9,55742,NCBIGene:401024,FSIP2,24775,MONDO:0054731,spermatogenic failure 27,7,0.24204000528839906,8,0.24227267164484392,0.8888888888888888,0,0,0,0,2,,spermatogenic failure 34 via spermatogenic failure
55,0.996551,0.249138,same_family_shared_ancestor,false,9a2f948a928de2bc12f4c55c9dfb9349,55742,NCBIGene:401024,FSIP2,24747,MONDO:0054615,spermatogenic failure 18,7,0.14463740788580165,8,0.14487007424224652,0.8888888888888888,0,0,0,0,2,,spermatogenic failure 34 via spermatogenic failure
56,0.996551,0.249138,same_family_shared_ancestor,false,b80783dbfaeae832a7d6772266e0c4c9,55742,NCBIGene:401024,FSIP2,22665,MONDO:0029147,spermatogenic failure 33,7,0.14463740788580165,8,0.14487007424224652,0.8888888888888888,0,0,0,0,2,,spermatogenic failure 34 via spermatogenic failure
57,0.996486,0.249121,same_family_shared_ancestor,false,302c7861e4680f78e919555cb9399584,55742,NCBIGene:401024,FSIP2,23453,MONDO:0032898,spermatogenic failure 43,5,0.21653556622463796,6,0.21676823258108283,0.6666666666666666,0,0,0,0,2,,spermatogenic failure 34 via spermatogenic failure
59,0.996398,0.2491,same_family_shared_ancestor,false,2ac3caeb7f9bee3a40bd679b191994d5,54941,NCBIGene:80217,CFAP43,24768,MONDO:0054724,spermatogenic failure 20,4,0.0810945045540681,6,0.08302208616475025,0.42857142857142855,0,0,0,0,2,,spermatogenic failure 19 via spermatogenic failure
60,0.996373,0.249093,same_family_shared_ancestor,false,5fd645069c55483a5a8325c906026a30,53968,NCBIGene:26074,CFAP61,27244,MONDO:0971000,spermatogenic failure 93,8,0.31347127360037985,11,0.32197780257948305,1,0,0,0,0,2,,spermatogenic failure 84 via spermatogenic failure
61,0.996373,0.249093,same_family_shared_ancestor,false,82c67c71f88ab8d2de890a6f18b1d4de,54809,NCBIGene:65975,STK33,26889,MONDO:0957301,spermatogenic failure 84,8,0.31347127360037985,11,0.32197780257948305,1,0,0,0,0,2,,spermatogenic failure 93 via spermatogenic failure
62,0.996272,0.249068,same_family_shared_ancestor,false,125d268d98c678acfe8db302cf38a747,55307,NCBIGene:122481,AK7,23453,MONDO:0032898,spermatogenic failure 43,6,0.21676823258108283,6,0.21676823258108283,0.75,0,0,0,0,2,,spermatogenic failure 27 via spermatogenic failure
64,0.996172,0.249043,same_family_shared_ancestor,false,038c556e3a9566884d2ec44ea7b1cef2,55455,NCBIGene:154313,CFAP206,24768,MONDO:0054724,spermatogenic failure 20,5,0.08278941980830538,6,0.08302208616475025,0.6666666666666666,0,0,0,0,2,,spermatogenic failure 102 via spermatogenic failure
65,0.996172,0.249043,same_family_shared_ancestor,false,106809fbf02c252550cfb4414ddba459,55742,NCBIGene:401024,FSIP2,24768,MONDO:0054724,spermatogenic failure 20,5,0.08278941980830538,6,0.08302208616475025,0.6666666666666666,0,0,0,0,2,,spermatogenic failure 34 via spermatogenic failure
66,0.996172,0.249043,same_family_shared_ancestor,false,e61e5be518cf3f1f4c4b3299fd4db9fd,53102,NCBIGene:8632,DNAH17,24768,MONDO:0054724,spermatogenic failure 20,5,0.08278941980830538,6,0.08302208616475025,0.6666666666666666,0,0,0,0,2,,spermatogenic failure 39 via spermatogenic failure
67,0.996099,0.249025,same_family_shared_ancestor,false,7af224b04b66630cf7473651a06485ec,54667,NCBIGene:57639,CCDC146,24768,MONDO:0054724,spermatogenic failure 20,4,0.0810945045540681,6,0.08302208616475025,0.6,0,0,0,0,2,,spermatogenic failure 94 via spermatogenic failure
