pair_id,label,gene_concept_id,gene_curie,gene_label,disease_concept_id,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,shared_ratio_to_gene,shared_ratio_to_disease,gene_alias_count,gene_member_count,gene_xref_count,gene_phenotype_count,gene_out_degree,disease_alias_count,disease_member_count,disease_xref_count,disease_phenotype_count,disease_lacks_phenotype_count,disease_in_degree,disease_out_degree,disease_trial_count
15f2415003c52586ffa439936332841c,1,50608,NCBIGene:150,ADRA2A,27048,MONDO:0958022,"lipodystrophy, familial partial, type 8",8,0.2324393014135516,14,0.49121794393913903,1,1,1,1,2,0,14,17,1,1,4,14,0,2,15,0
2b246b06be3e426a4c826c2ef2cd3365,1,50908,NCBIGene:1041,CDSN,22302,MONDO:0024548,peeling skin syndrome 1,3,0.6149068322981367,14,1.4986987529793512,0.35,0.35,1,1,2,0,40,46,17,1,6,14,0,2,15,0
2b246b06be3e426a4c826c2ef2cd3365,1,50908,NCBIGene:1041,CDSN,22302,MONDO:0024548,peeling skin syndrome 1,3,0.6149068322981367,14,1.4986987529793512,0.35,0.35,1,1,2,0,40,46,17,1,6,14,0,2,15,0
3344833d2c8994aeae94703bcdfdad49,1,50663,NCBIGene:288,ANK3,14210,MONDO:0014210,intellectual disability-hypotonia-spasticity-sleep disorder syndrome,4,0.053548153134899294,14,0.14407494067463664,0.5185185185185185,0.5185185185185185,1,1,2,0,27,30,7,1,6,14,0,2,15,0
3344833d2c8994aeae94703bcdfdad49,1,50663,NCBIGene:288,ANK3,14210,MONDO:0014210,intellectual disability-hypotonia-spasticity-sleep disorder syndrome,4,0.053548153134899294,14,0.14407494067463664,0.5185185185185185,0.5185185185185185,1,1,2,0,27,30,7,1,6,14,0,2,15,0
3dd954450f59b272bbdcdd0b1fb7b29b,1,50726,NCBIGene:492,ATP2B3,56540,ORPHA:314978,X-linked non progressive cerebellar ataxia,5,0.25337151969899424,14,0.3176050714078678,0.3888888888888889,0.3888888888888889,1,1,2,0,36,39,1,1,0,14,2,1,16,0
5876723d276dcd7ffcd630c222b0abe5,1,50686,NCBIGene:367,AR,19154,MONDO:0019154,androgen insensitivity syndrome,1,0.25,14,2.647671197408583,0.1076923076923077,0.1076923076923077,1,1,2,0,130,145,17,1,15,14,0,5,16,1
5876723d276dcd7ffcd630c222b0abe5,1,50686,NCBIGene:367,AR,19154,MONDO:0019154,androgen insensitivity syndrome,1,0.25,14,2.647671197408583,0.1076923076923077,0.1076923076923077,1,1,2,0,130,145,17,1,15,14,0,5,16,1
5f44a01b93391ef4fe9a20cfe1c8bf20,1,50790,NCBIGene:675,BRCA2,7959,MONDO:0007959,medulloblastoma,0,0,14,1.3090212228102491,0.04844290657439446,0.05303030303030303,0.358974358974359,1,2,0,264,308,19,1,17,39,0,32,41,0
5f44a01b93391ef4fe9a20cfe1c8bf20,1,50790,NCBIGene:675,BRCA2,7959,MONDO:0007959,medulloblastoma,0,0,14,1.3090212228102491,0.04844290657439446,0.05303030303030303,0.358974358974359,1,2,0,264,308,19,1,17,39,0,32,41,0
